route_id,direction_id,stop_1,stop_2,distance_m,llm_explanation
14884,1,Walnut St @ N Walnut St,Walnut St @ Locust St,118.36,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,1,Walnut St @ High St,Walnut St @ Welton St,124.79,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,1,Walnut St @ Cherry St,Cherry St @ Maple Ave,118.91,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14884,1,Cherry St @ Maple Ave,E Main St @ Maple St,99.84,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,0,E Main St @ Opp William St,Hamilton Ave @ Brass Mill Commons,103.73,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,0,Wolcott St @ 840 Wolcott St,Stillson Rd @ Richard Ter,79.34,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,0,Wolott St @ Sharon Rd,Sharon Rd @ Wolcott St,90.69,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,0,Wolcott St @ Town Line Rd,Town Line Rd @ Wolcott Rd,58.76,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,0,Town Line Rd @ Wolcott Ind Park,Town Line Rd @ 14-16 Town Line Rd,116.73,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,0,Hamilton Ave @ Brass Mill Commons,Hamilton Ave @ Brass Mill Commons,45.33,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,1,E Main St @ William St,Hamilton Ave @ Brass Mill Commons,119.79,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,1,E Main St @ Welton St,Hamilton Ave @ Brass Mill Commons,80.52,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,1,E Main St @ Welton St,Hamilton Ave @ Brass Mill Commons,119.11,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,1,E Main St @ Cherry St,E Main St @ Maple St,108.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14885,1,Hamilton Ave @ Brass Mill Commons,Hamilton Ave @ Brass Mill Commons,45.33,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14886,0,Avenue of Industry @ Pierpont Rd,Avenue of Industry @ Pierpont Rd,18.78,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14886,0,Farview Ave @ Meriden Rd,Meriden Rd @ Farview Ave,43.7,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14886,1,E Main St @ Cherry St,E Main St @ Maple St,108.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14886,1,Avenue of Industry @ Pierpont Rd,Avenue of Industry @ Pierpont Rd,18.78,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,0,Frost Rd @ E Main St,E Main St @ Opp Frost Rd,42.2,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,0,E Main St @ Meriline Ave,Meriline Ave @ Pinehurst Ave,104.7,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,1,Meriline Ave @ Pinehurst Ave,Hillcrest Ave @ Pinehurst Ave,116.86,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,1,Meriline Ave @ Pinehurst Ave,E Main St @ Meriline Ave,81.6,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,1,Whitecroft Ln @ E Main St,E Main St @ Opp Scott Rd,115.37,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,1,E Main St @ Frost Rd,Frost Rd @ E Main St,40.98,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,1,E Main St @ East Gate Apts,Frost Rd @ E Main St,111.24,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14887,1,E Main St @ Cherry St,E Main St @ Maple St,108.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14888,0,Captain Neville Industrial Park,Boxwood Ct @ Austin Rd,106.2,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14888,0,Reidville Dr @ CVS,Scott Rd @ opp Schraffts Dr,122.08,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14888,0,Village Wood Dr @ Boxwood Ct,Boxwood Ct @ Austin Rd,114.86,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14888,1,Austin Rd @ Captain Neville Dr,Captain Neville Dr @ Austin Rd,47.51,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14888,1,E Main St @ Cherry St,E Main St @ Maple St,108.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14889,0,Hamilton Ave @ Farrington Ave,Hamilton Ave @ Edgewood Ave,82.99,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14889,1,Hamilton Ave @ opp Edgewood Ave,Hamilton Ave @ opp Farrington Ave,84.97,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14889,1,Hamilton Ave @ Brass Mill Commons,E Main St @ Welton St,119.11,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14889,1,E Main St @ Cherry St,E Main St @ Maple St,108.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14891,1,Jersey St @ Longmeadow Dr,Jersey St @ OPP Longmeadow Dr,40.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14891,1,Jersey St @ Brookview Ave,Jersey St @ OPP Longmeadow Dr,99.04,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14891,1,Jersey St @ OPP Longmeadow Dr,Jersey St @ Pearl Lake Rd,121.74,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14892,0,New Haven Ave @ Bradley Ave,Bradley Ave @ Highland Ave,48.03,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14892,1,Highland Ave @ Hawthorne Ave,New Haven Ave @ Bradley Ave,65.68,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14892,1,Highland Ave @ Avon Ave,New Haven Ave @ Bradley Ave,95.76,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14892,1,Anna Ave @ 75 Anna Ave,Anna Ave @ Bradley Ave,122.76,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14893,0,W Main St @ opp Wilson St,Highland Ave @ W Main St,84.06,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14893,1,Freight St @ Meadow St,Meadow St @ Freight St,26.22,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,0,Straits Tpke @ Woodside Ave,Straits Tpke @ opp Woodside Ave,18.44,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,0,Middlebury Rd @ Yale Ave,Middlebury Rd @ Yale Ave,35.12,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,0,Foster St @ White Ave,Middlebury Rd @ Yale Ave,105.84,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,1,Straits Tpke @ opp Woodside Ave,Straits Tpke @ Woodside Ave,18.44,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,1,Chase Pkwy @ Regional Cancer Ctr,Harold Leever Cancer Ctr @ Chase Pkwy,122.02,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,1,Robbins St @ Colley St,Watertown Ave @ Robbins St,122.51,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,1,W Main St @ State St,State St @ W Main St,30.37,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14894,1,Chase Pkwy @ opp Hudson St,Highland Ave @ Sunnyside Ave,107.49,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14895,0,Grandview Ave @ 88 Grandview Ave,Grandview Ave @ 134 Grandview Ave,110.12,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14895,0,Grandview Ave @ 134 Grandview Ave,Grandview Ave @ opp Westwood Ave,110.39,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14895,1,Grandview Ave @ Westwood Ave,Grandview Ave @ 137 Grandview Ave,87.13,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,Gear St @ Huntingdon Ave,Huntingdon Ave @ Brookside Rd,34.65,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,Watertown Ave @ opp Kaynor Dr,Watertown Ave @ opp Madeline Ave,104.51,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,Main St @ French St,French St @ Main St,53.34,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,Main St @ French St,Depot St @ French St,103.53,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,Main St @ Pythian Ave,Depot St @ Siemon Company Dr,115.38,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,Main St @ Echo Lake Rd,Echo Lake Rd @ Heminway Pake Rd,40.18,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,0,French St @ Main St,Depot St @ French St,87.31,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14896,1,Watertown Ave @ Madeline Ave,Watertown Ave @ Kaynor Dr,110.47,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14897,0,Watertown Ave @ opp Kaynor Dr,Watertown Ave @ opp Madeline Ave,104.51,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14897,0,Park Rd @ opp Eyelematic Dist South,Park Rd @ Eyelematic Dist South,18.04,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14897,0,Park Rd @ opp Seemar Rd,Park Rd @ Seemar Rd,24.0,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14897,1,Watertown Ave @ Madeline Ave,Watertown Ave @ Kaynor Dr,110.47,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,0,Watertown Ave @ Tompkins St,Irvington Ave @ Watertown Ave,121.9,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,0,Commercial St @ New Wood Rd,Straits Tpke @ Commercial St,34.28,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,0,Straits Tpke @ New Wood Rd,Straits Tpke @ Commercial St,111.76,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,Commercial St @ New Wood Rd,New Wood Rd @ Straits Tpke,86.86,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,Commercial St @ New Wood Rd,Straits Tpke @ Commercial St,34.28,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,Commercial St @ New Wood Rd,Commercial St @ Dunkin Donuts,51.48,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,New Wood Rd @ Straits Tpke,Straits Tpke @ opp New Wood Rd,89.03,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,New Wood Rd @ Straits Tpke,Straits Tpke @ Commercial St,53.4,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,New Wood Rd @ Straits Tpke,Commercial St @ Dunkin Donuts,83.91,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,Irvington Ave @ Watertown Ave,Watertown Ave @ Tompkins St,67.95,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,Straits Tpke @ Commercial St,Commercial St @ Dunkin Donuts,45.12,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14898,1,Watertown Ave @ Madeline Ave,Watertown Ave @ Kaynor Dr,110.47,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14899,1,E Main St @ UConn Campus,East Main St @ N Main St,85.14,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14900,0,Bloomingdale Dr @ Knotter Rd,Bloomingdale Dr @ Knotter Rd,25.57,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14900,1,Goodrich Co @ Knotter Dr,Goodrich Co @ Knotter Dr,27.24,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14900,1,Knotter Dr @ opp McKee Pl,Knotter Dr @ McKee Pl,31.07,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14900,1,Bloomingdale Dr @ Knotter Rd,Bloomingdale Dr @ Knotter Rd,25.57,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14902,0,Naugatuck Car Wash @ Rubber Ave,Webster Bank @ Rubber Ave,103.19,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14902,0,Naugatuck Car Wash @ Rubber Ave,Mount View Shopping Plaza @ Stop & Shop,111.86,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
14902,0,Webster Bank @ Rubber Ave,Mount View Shopping Plaza @ Stop & Shop,69.52,[LLM Error] 401 Client Error: Unauthorized for url: https://api.groq.com/openai/v1/chat/completions
